date;hour;precipitationInMm
1979-01-01;00:00;148.62799185980114
1979-02-01;00:00;123.16975830495356
1979-03-01;00:00;33.81414128374308
1979-04-01;00:00;25.36559365782886
1979-05-01;00:00;112.45022524986412
1979-06-01;00:00;10.519740280229598
1979-07-01;00:00;11.76397852040828
1979-08-01;00:00;20.786005197558502
1979-09-01;00:00;22.977639513090278
1979-10-01;00:00;98.67974648252128
1979-11-01;00:00;47.53099650330839
1979-12-01;00:00;176.06160809099669
1980-01-01;00:00;72.7677487209439
1980-02-01;00:00;449.31143053434744
1980-03-01;00:00;198.80605929484594
1980-04-01;00:00;328.9997605755927
1980-05-01;00:00;2.083910857792949
1980-06-01;00:00;3.0155947897583166
1980-07-01;00:00;5.663407151238065
1980-08-01;00:00;34.402295629959525
1980-09-01;00:00;11.221818788908424
1980-10-01;00:00;90.19314290955663
1980-11-01;00:00;117.40633414126924
1980-12-01;00:00;93.02575570531185
1981-01-01;00:00;103.25825874321166
1981-02-01;00:00;14.621003827080127
1981-03-01;00:00;115.12633084529074
1981-04-01;00:00;21.281480768695438
1981-05-01;00:00;15.296974090219013
1981-06-01;00:00;0.5661682616919279
1981-07-01;00:00;5.143671767786146
1981-08-01;00:00;1.857223221566528
1981-09-01;00:00;7.940744643565267
1981-10-01;00:00;22.286408018320795
1981-11-01;00:00;51.784523231908636
1981-12-01;00:00;121.2382016868796
1982-01-01;00:00;159.6252556964755
1982-02-01;00:00;76.74549898318944
1982-03-01;00:00;31.577733121812315
1982-04-01;00:00;1.547878887620754
1982-05-01;00:00;24.34868824924338
1982-06-01;00:00;0.2981981202028693
1982-07-01;00:00;13.963587585836652
1982-08-01;00:00;9.056737221428193
1982-09-01;00:00;40.65599170693898
1982-10-01;00:00;92.05046279728407
1982-11-01;00:00;70.67395020695399
1982-12-01;00:00;106.06758374266786
1983-01-01;00:00;130.78632512560574
1983-02-01;00:00;79.20905351638788
1983-03-01;00:00;31.224558837711818
1983-04-01;00:00;4.37808739114553
1983-05-01;00:00;8.383482474833736
1983-06-01;00:00;11.643646550364796
1983-07-01;00:00;1.8162521650083385
1983-08-01;00:00;3.5158773852745115
1983-09-01;00:00;11.065124315442521
1983-10-01;00:00;41.69075966707897
1983-11-01;00:00;145.76705775409943
1983-12-01;00:00;63.20462758466598
1984-01-01;00:00;266.07486379891674
1984-02-01;00:00;43.19931319355959
1984-03-01;00:00;373.5232084526212
1984-04-01;00:00;2.6488698191242275
1984-05-01;00:00;22.647252549388213
1984-06-01;00:00;30.429231400135897
1984-07-01;00:00;22.233099231030785
1984-08-01;00:00;5.3644047902198535
1984-09-01;00:00;7.182059182061488
1984-10-01;00:00;10.141469129361212
1984-11-01;00:00;51.50859597511589
1984-12-01;00:00;79.35661221481858
1985-01-01;00:00;194.49394470825786
1985-02-01;00:00;62.27733294520298
1985-03-01;00:00;10.718543386086829
1985-04-01;00:00;85.4312278579455
1985-05-01;00:00;0.7069413518038348
1985-06-01;00:00;0.03925709237228143
1985-07-01;00:00;43.20265027282588
1985-08-01;00:00;3.7943658442236488
1985-09-01;00:00;72.97033616101547
1985-10-01;00:00;11.221348252147433
1985-11-01;00:00;44.29849532060326
1985-12-01;00:00;75.0888162655756
1986-01-01;00:00;223.1400845684111
1986-02-01;00:00;246.64423971343788
1986-03-01;00:00;45.07539875386279
1986-04-01;00:00;78.85692433896479
1986-05-01;00:00;4.318577026017008
1986-06-01;00:00;0.48469854786526356
1986-07-01;00:00;0.901238042861223
1986-08-01;00:00;4.69297175071551
1986-09-01;00:00;53.26656001526863
1986-10-01;00:00;91.57569898292425
1986-11-01;00:00;48.14384404481094
1986-12-01;00:00;117.67335056141017
1987-01-01;00:00;174.84517840389162
1987-02-01;00:00;145.6116070030256
1987-03-01;00:00;63.00912076141684
1987-04-01;00:00;99.09893085598014
1987-05-01;00:00;0.9119692370295521
1987-06-01;00:00;11.110730976797639
1987-07-01;00:00;12.951997870579365
1987-08-01;00:00;3.5669730035588185
1987-09-01;00:00;9.877956896089016
1987-10-01;00:00;18.30489986389875
1987-11-01;00:00;46.765851338393986
1987-12-01;00:00;69.50011861370879
1988-01-01;00:00;41.51716060010948
1988-02-01;00:00;128.55946898087868
1988-03-01;00:00;55.86114267786613
1988-04-01;00:00;2.655133862979711
1988-05-01;00:00;22.226321125868658
1988-06-01;00:00;0.0274533592164516
1988-07-01;00:00;0.5780720743350684
1988-08-01;00:00;13.442304937168949
1988-09-01;00:00;16.70410929434003
1988-10-01;00:00;21.550451282411814
1988-11-01;00:00;136.87826394056913
1988-12-01;00:00;151.69985889829695
1989-01-01;00:00;151.01224307622743
1989-02-01;00:00;38.16926606744532
1989-03-01;00:00;267.56779801321665
1989-04-01;00:00;142.41407641826663
1989-05-01;00:00;6.44134894153103
1989-06-01;00:00;28.79402601905167
1989-07-01;00:00;7.154719812795521
1989-08-01;00:00;0.8721682364121079
1989-09-01;00:00;3.1607073526829534
1989-10-01;00:00;156.16627587005487
1989-11-01;00:00;137.2038170769812
1989-12-01;00:00;129.76644220948228
1990-01-01;00:00;180.63843229785556
1990-02-01;00:00;140.49065858824173
1990-03-01;00:00;39.338605701923406
1990-04-01;00:00;21.07641048263759
1990-05-01;00:00;6.91995904082432
1990-06-01;00:00;14.938672735297576
1990-07-01;00:00;0.885949563235044
1990-08-01;00:00;0.7115176958031952
1990-09-01;00:00;1.9139098273590203
1990-10-01;00:00;180.9510278645907
1990-11-01;00:00;51.55762914195654
1990-12-01;00:00;122.46982163190849
1991-01-01;00:00;192.30547020211816
