long;lat;year;c4_biomass;c3_biomass;dead_grass_biomass;savanna_tree_cover;forest_tree_cover;tree_leaf_biomass;tree_stem_biomass;trees_per_ha
30.75;-21.75;1980;2.16673;1.38288;0.361724;0.209776;0.0027939;1.18361;4.33111;7022
30.75;-23.25;1980;2.79611;1.61804;0.327063;0.144159;0.48652;2.01334;17.6729;4246
32.25;-24.75;1980;0.961692;0.66574;0.401266;0.0119141;0.982424;2.83554;47.0333;3493
30.75;-22.25;1980;2.06122;1.05459;0.750301;0.288857;0.054465;1.40703;6.75701;5661
31.75;-22.25;1980;1.2073;0.73765;0.473118;0.24559;0.0542107;1.52485;8.12779;4986
31.25;-23.25;1980;2.08818;1.14663;0.714625;0.208527;0.158135;1.40978;10.9442;4697
31.75;-23.75;1980;2.84529;1.65684;0.47359;0.121913;0.147613;1.78997;7.41833;3101
32.25;-25.25;1980;2.43379;1.717;0.864306;0.0361405;0.429738;2.53887;24.762;2075
31.75;-21.75;1980;1.20671;0.92074;0.180871;0.0401244;0.959876;3.33755;42.2114;4276
32.25;-22.25;1980;2.00087;1.24571;0.62558;0.124756;0.473418;2.42585;18.2893;3965
31.75;-22.75;1980;2.54301;1.53294;0.451686;0.213054;0.0577894;1.4077;5.82193;5259
31.25;-25.25;1981;2.16409;1.75258;0.603526;0.326477;0.372347;2.24222;19.1934;4127
32.25;-24.25;1981;1.1735;0.796349;0.342334;0.0503631;0.518701;1.73889;18.0515;3563
31.25;-24.25;1981;1.34076;0.914153;0.334284;0.0312009;0.883578;2.39964;40.3906;2078
31.25;-22.75;1981;1.66567;0.920719;0.504547;0.201818;0.0443073;1.63741;5.22364;4930
31.75;-25.25;1981;1.28626;1.05812;0.489197;0.0282848;0.64213;2.70066;33.4572;1714
31.25;-23.75;1981;2.08976;1.21643;0.63044;0.0881943;0.217426;1.21725;7.96889;3037
30.75;-25.25;1981;3.41096;2.77476;0.975865;0.244943;0.00455642;0.914002;4.79323;4198
30.75;-23.75;1981;3.33529;1.89426;0.955868;0.0965064;0.268941;1.5918;14.6347;3518
30.75;-24.75;1981;3.16263;2.69372;0.95992;0.128932;0.00226627;0.70526;2.72998;3142
31.25;-24.75;1981;2.3376;1.80792;0.72179;0.290879;0.244641;1.57566;13.4279;3698
32.25;-23.25;1981;1.50642;0.365635;0.395277;0.285929;0.309008;1.51211;13.1212;5220
32.25;-22.75;1981;1.84222;1.35168;0.634187;0.358157;0.0164988;1.76832;8.05579;5934
31.25;-22.25;1981;2.24429;1.09919;0.246444;0.217804;0.0125606;1.55073;5.6614;5703
32.25;-21.75;1981;1.10319;0.725516;0.399042;0.0374298;0.454964;2.02773;20.2182;2768
30.75;-22.75;1981;2.08314;1.24597;0.505834;0.0471728;0.504615;2.14005;26.7008;1546
