year;type;count;calfCount;lat;lon
1989;OB;5;0;-22.379099987088544;31.24369896619866
1989;OB;1;0;-22.433299986749436;31.135398744264773
1989;OB;3;0;-22.516599992298037;31.004098487706504
1989;OB;1;0;-22.520799978712947;31.004098510082354
1989;OB;2;0;-22.53539995219234;30.974898356246268
1989;OB;5;0;-22.54159992639624;30.97909837245333
1989;OB;1;0;-22.531199977754284;31.022898507104813
1989;OB;1;0;-22.531199977754284;31.022898507104813
1989;OB;12;0;-22.53749995995289;31.024898497181375
1989;OB;1;0;-22.525000024417942;31.076998603188805
1989;OB;1;0;-22.63329995754685;31.03949852899091
1989;OB;1;0;-22.631199976798925;30.960398333283386
1989;OB;2;0;-22.624999949348478;30.97289840195515
1989;OB;1;0;-22.63329998063462;30.99369848268074
1989;OB;1;0;-22.649999993636815;30.985398416898878
1989;OB;7;0;-22.656199953304487;30.96659836298769
1989;OB;1;0;-22.68329994902517;30.97489843167336
1989;OB;1;0;-22.672900016496467;31.004098516211073
1989;OB;2;0;-22.664499949413806;31.02699854846496
1989;OB;1;0;-22.712499967850576;30.997898479430482
1989;OB;1;0;-22.704099930530088;31.031198492200375
1989;OB;5;0;-22.745799961442852;31.0394985174255
1989;OB;2;0;-22.739499964621288;31.093698675912155
1989;OB;1;0;-22.691599946881677;31.1186987448758
1989;OB;4;0;-22.660399983523035;31.162398819825484
1989;OB;1;0;-22.724999951729853;31.181198859654806
1989;OB;1;0;-22.689499976042054;31.17699877725759
1989;OB;2;0;-22.681199986188147;31.18119879829288
1989;OB;5;0;-22.693699979631635;31.2040988415927
1989;OB;6;0;-22.714499979486956;31.214498868862584
1989;OB;5;0;-22.65410002958378;31.249898991843867
1989;OB;4;0;-22.660399951902942;31.24989898342712
1989;OB;1;0;-22.74579995668196;31.295799020883976
1989;OB;1;0;-22.720800046708696;31.37079917758295
1989;OB;5;0;-22.785400000877665;31.004098477654054
1989;OB;2;0;-22.799999971880013;30.993698472859155
1989;OB;1;0;-22.806199995605095;31.008298482368517
1989;OB;1;0;-22.772899944803758;31.043698536459363
1989;OB;2;0;-22.76869995123525;31.051998564807597
1989;OB;2;0;-22.781199990925778;31.060398562358117
1989;OB;1;0;-22.8186999778282;31.07289862173568
1989;OB;6;0;-22.879099934150425;31.026998491690758
1989;OB;5;0;-22.874999934992807;30.968698432153392
1989;OB;1;0;-22.895799924792613;30.96239843092518
1989;OB;1;0;-22.981199931569023;30.98119847507381
1989;OB;4;0;-22.987499932515018;30.964498392967883
1989;OB;3;0;-22.97079998900696;30.95409839383563
1989;OB;3;0;-22.979099998862527;30.939498320918915
1989;OB;1;0;-22.99369997836803;30.937398323593214
1989;OB;4;0;-22.995799956887893;30.92909828586509
1989;OB;2;0;-23.001999927439545;30.933298359861876
1989;OB;2;0;-23.008299963526603;30.93329835834829
1989;OB;2;0;-23.004099993480597;30.95409839377468
1989;OB;1;0;-22.80830000201073;31.168698808751977
1989;OB;3;0;-22.86450003167159;31.222898896151783
1989;OB;3;0;-22.872899972097976;31.237398980185258
1989;OB;1;0;-22.81250000546865;31.254098989312254
1989;OB;7;0;-22.831200003130295;31.314499073623036
1989;OB;2;0;-22.8958000188589;31.28329901367977
1989;OB;2;0;-22.906199983685294;31.285399029710863
1989;OB;4;0;-22.92080002652641;31.29159907070265
1989;OB;2;0;-22.914500023161068;31.301999027666675
1989;OB;2;0;-22.826999994772706;31.34789909386075
1989;OB;1;0;-22.997900012232236;31.32699905275866
1989;OB;1;0;-23.006200031968696;31.343699094695914
1989;OB;5;0;-22.916600044206557;31.364499115084456
1989;OB;4;0;-22.931200038420773;31.429099250642828
1989;OB;3;0;-22.939499989542785;31.40409924538719
1989;OB;1;0;-22.997899986810392;31.370799174133737
1989;OB;2;0;-22.970799959153833;31.391599183179125
1989;OB;3;0;-22.985399984534357;31.391599172003467
1989;OB;5;0;-23.022899982952897;30.914498290874583
1989;OB;2;0;-23.029099924408087;30.912398230215466
1989;OB;1;0;-23.022899945519892;30.924898325936134
1989;OB;7;0;-23.04369997209986;30.90829831016501
1989;OB;1;0;-23.041599937574443;30.916598280354957
1989;OB;4;0;-23.072899918035656;30.90409829574435
1989;OB;6;0;-23.03539995325601;30.951998356794395
1989;OB;3;0;-23.043699957289018;30.9623983596711
1989;OB;4;0;-23.04369996521963;30.98119845240454
1989;OB;3;0;-23.026999982201694;31.012398494196237
1989;OB;1;0;-23.056200001271385;30.997898455976006
1989;OB;2;0;-23.079099944089087;30.97489837642534
1989;OB;2;0;-23.083299930028154;31.022898491982662
1989;OB;1;0;-23.12079992707804;30.931198360027324
1989;OB;4;0;-23.124999954174285;30.933298280146033
1989;OB;1;0;-23.13749999980101;30.93949837108062
1989;OB;5;0;-23.133299986031048;30.95199835161375
1989;OB;2;0;-23.162499980968814;30.947898400681012
1989;OB;2;0;-23.150000005737397;30.96449840385498
1989;OB;1;0;-23.16869993931905;30.96869838666339
1989;OB;2;0;-23.160400004182375;30.991598507246476
1989;OB;3;0;-23.156199961775663;30.972898397932134
1989;OB;12;0;-23.14579993648833;30.98739847616531
1989;OB;6;0;-23.13119998309833;30.96659845186363
1989;OB;3;0;-23.12699998505749;30.981198479077598
1989;OB;2;0;-23.124999933177854;30.98949849062654
1989;OB;2;0;-23.118699945630187;30.991598430627704
1989;OB;2;0;-23.11449998747913;30.993698461665627
1989;OB;2;0;-23.11249996374062;30.999898455046026
1989;OB;3;0;-23.114499995579422;30.98739848836118
1989;OB;1;0;-23.110399984182497;30.991598472963584
1989;OB;3;0;-23.114499996708748;30.974898456709774
1989;OB;8;0;-23.10830000188115;30.976998437415162
1989;OB;7;0;-23.11039994356929;30.95829837200977
1989;OB;4;0;-23.099999939335568;30.960398434054063
1989;OB;2;0;-23.106199945096527;30.945798369584768
1989;OB;1;0;-23.14789993804351;31.02909849748929
1989;OB;1;0;-23.124999963067946;31.047898557232912
1989;OB;4;0;-23.11450002430745;31.141598795595694
1989;OB;2;0;-23.14159994604995;31.158298833080632
1989;OB;1;0;-23.174999977207364;31.179098800446127
