year,type,count,calfCount,utmX,utmY
1989,BB,2.00,0.00,289033.19,7454079.78
1989,OB,2.00,0.00,290308.21,7454562.87
1989,BB,5.00,0.00,290533.24,7453868.16
1989,BB,7.00,0.00,305516.71,7467914.69
1989,BB,2.00,0.00,311809.18,7477685.40
1989,OB,1.00,0.00,312039.06,7476536.41
1989,BB,8.00,0.00,314231.07,7471945.03
1989,BB,1.00,0.00,314460.71,7470796.01
1989,OB,3.00,0.00,317678.25,7470381.05
1989,BB,2.00,0.00,317694.94,7468996.86
1989,OB,3.00,0.00,319177.34,7469468.75
1989,BB,36.00,0.00,319894.07,7481704.03
1989,OB,1.00,0.00,320811.80,7476177.46
1989,BB,4.00,0.00,325681.29,7480387.19
1989,OB,7.00,0.00,327035.79,7474178.80
1989,BB,7.00,0.00,321570.08,7466728.44
1989,BB,16.00,0.00,323480.39,7467448.61
1989,OB,2.00,0.00,323916.71,7466988.56
1989,OB,2.00,0.00,324145.57,7465839.45
1989,OB,4.00,0.00,324800.37,7464230.14
1989,OB,2.00,0.00,325859.07,7464940.11
1989,BB,4.00,0.00,329386.23,7474205.46
1989,OB,2.00,0.00,330458.73,7474682.62
1989,OB,1.00,0.00,328528.70,7455734.43
1989,OB,1.00,0.00,330251.06,7454834.79
1989,BB,4.00,0.00,333483.71,7471249.94
1989,BB,2.00,0.00,335217.56,7469419.54
1989,BB,4.00,0.00,335237.61,7467581.44
1989,OB,5.00,0.00,332272.68,7464780.21
1989,BB,3.00,0.00,332280.44,7464082.61
1989,BB,3.00,0.00,339525.53,7466697.39
1989,BB,3.00,0.00,341448.60,7466263.68
1989,BB,2.00,0.00,338262.93,7464845.63
1989,BB,2.00,0.00,339973.01,7464166.20
1989,BB,1.00,0.00,337198.35,7463682.46
1989,OB,4.00,0.00,338916.14,7463235.80
1989,OB,3.00,0.00,336362.10,7462289.14
1989,BB,4.00,0.00,336151.79,7461821.74
1989,BB,14.00,0.00,342616.69,7456586.25
1989,BB,2.00,0.00,338787.26,7455161.39
1989,OB,1.00,0.00,333018.77,7455785.00
1989,BB,4.00,0.00,332993.06,7458099.27
1989,OB,2.00,0.00,335118.11,7458809.33
1989,OB,3.00,0.00,335135.83,7457192.67
1989,OB,5.00,0.00,286277.86,7452423.52
1989,OB,2.00,0.00,286072.37,7451733.80
1989,OB,1.00,0.00,287343.98,7452438.67
1989,BB,2.00,0.00,286300.89,7450806.55
1989,OB,7.00,0.00,285675.21,7450110.82
1989,OB,1.00,0.00,286522.61,7450355.54
1989,OB,4.00,0.00,285291.08,7446870.70
1989,OB,6.00,0.00,290141.38,7451093.41
1989,OB,3.00,0.00,291220.18,7450189.07
1989,OB,4.00,0.00,293147.06,7450215.78
1989,OB,3.00,0.00,296319.70,7452109.03
1989,OB,1.00,0.00,294877.63,7448854.95
1989,OB,2.00,0.00,292555.65,7446286.35
1989,OB,2.00,0.00,297480.28,7445888.58
1989,BB,5.00,0.00,287276.66,7442745.01
1989,BB,13.00,0.00,288136.69,7442070.43
1989,OB,1.00,0.00,288143.29,7441605.28
1989,OB,4.00,0.00,288364.99,7441143.17
