FID;SP;NO;LAT;LONG;NAME
14,853;kp;5;-24.754200000000001;31.756200000000000;Vutome
14,854;ob;1;-24.731300000000001;31.756200000000000;Vutome
14,855;r;25;-24.720800000000001;31.756200000000000;Vutome
14,856;kp;4;-24.720800000000001;31.743700000000000;Vutome
14,857;b;2;-24.731300000000001;31.743700000000000;Vutome
14,858;ob;1;-24.737500000000001;31.743700000000000;Vutome
14,859;r;50;-24.743800000000000;31.750000000000000;Vutome
14,860;r;25;-24.743800000000000;31.743700000000000;Vutome
14,861;bb;2;-24.754200000000001;31.750000000000000;Vutome
14,862;r;30;-24.754200000000001;31.737500000000001;Vutome
14,863;kp;1;-24.754200000000001;31.737500000000001;Vutome
14,864;r;40;-24.750000000000000;31.737500000000001;Vutome
14,865;kp;3;-24.743800000000000;31.737500000000001;Vutome
14,866;r;10;-24.743800000000000;31.737500000000001;Vutome
14,867;r;8;-24.743800000000000;31.731200000000001;Vutome
14,868;r;30;-24.750000000000000;31.731200000000001;Vutome
14,869;ob;1;-24.754200000000001;31.718699999999998;Vutome
14,870;kp;1;-24.754200000000001;31.706199999999999;Vutome
14,871;kp;6;-24.754200000000001;31.699999999999999;Vutome
14,872;kp;1;-24.754200000000001;31.699999999999999;Vutome
14,873;ko;1;-24.754200000000001;31.699999999999999;Vutome
14,874;kb;5;-24.754200000000001;31.693700000000000;Ripape
14,875;r;2;-24.602100000000000;31.672899999999998;Winkelhaakspruit
14,876;w;2;-24.612500000000001;31.672899999999998;Winkelhaakspruit
14,877;r;20;-24.606300000000001;31.672899999999998;Winkelhaakspruit
14,878;r;1;-24.606300000000001;31.679200000000002;Vutome
14,879;r;30;-24.602100000000000;31.672899999999998;Winkelhaakspruit
14,880;r;2;-24.606300000000001;31.679200000000002;Vutome
14,881;v;3;-24.602100000000000;31.679200000000002;Winkelhaakspruit
14,882;r;20;-24.612500000000001;31.679200000000002;Vutome
14,883;r;12;-24.612500000000001;31.679200000000002;Vutome
14,884;kp;2;-24.618800000000000;31.672899999999998;Winkelhaakspruit
14,885;r;30;-24.618800000000000;31.672899999999998;Winkelhaakspruit
14,886;w;11;-24.618800000000000;31.679200000000002;Vutome
14,887;r;1;-24.618800000000000;31.693700000000000;Vutome
14,888;r;25;-24.612500000000001;31.699999999999999;Winkelhaakspruit
14,889;r;20;-24.612500000000001;31.725000000000001;Winkelhaakspruit
14,890;l;2;-24.612500000000001;31.725000000000001;Winkelhaakspruit
14,891;w;11;-24.612500000000001;31.718699999999998;Vutome
14,892;ko;6;-24.618800000000000;31.699999999999999;Vutome
14,893;w;10;-24.618800000000000;31.693700000000000;Vutome
14,894;r;10;-24.625000000000000;31.693700000000000;Vutome
14,895;ko;1;-24.625000000000000;31.687500000000000;Vutome
14,896;r;15;-24.625000000000000;31.679200000000002;Ripape
14,897;r;30;-24.625000000000000;31.679200000000002;Ripape
14,898;k;11;-24.635400000000001;31.672899999999998;Ripape
14,899;r;1;-24.635400000000001;31.679200000000002;Vutome
14,900;r;1;-24.635400000000001;31.679200000000002;Vutome
14,901;w;1;-24.629200000000001;31.687500000000000;Vutome
14,902;r;30;-24.629200000000001;31.687500000000000;Vutome
14,903;ob;2;-24.635400000000001;31.687500000000000;Vutome
14,904;r;2;-24.629200000000001;31.693700000000000;Vutome
14,905;r;25;-24.625000000000000;31.699999999999999;Vutome
14,906;r;1;-24.618800000000000;31.718699999999998;Vutome
14,907;r;3;-24.618800000000000;31.725000000000001;Vutome
14,908;wl;1;-24.625000000000000;31.718699999999998;Vutome
14,909;v;2;-24.645800000000001;31.672899999999998;Ripape
14,910;wr;1;-24.641700000000000;31.679200000000002;Vutome
14,911;r;2;-24.641700000000000;31.687500000000000;Vutome
14,912;r;1;-24.635400000000001;31.693700000000000;Vutome
14,913;r;20;-24.635400000000001;31.693700000000000;Vutome
14,914;wl;1;-24.629200000000001;31.725000000000001;Vutome
14,915;r;20;-24.635400000000001;31.725000000000001;Vutome
14,916;wl;1;-24.635400000000001;31.718699999999998;Vutome
14,917;kp;3;-24.658300000000001;31.679200000000002;Vutome
14,918;kk;1;-24.658300000000001;31.679200000000002;Vutome
14,919;aw;1;-24.658300000000001;31.699999999999999;Vutome
14,920;kp;6;-24.645800000000001;31.718699999999998;Vutome
14,921;bh;1;-24.652100000000001;31.718699999999998;Vutome
14,922;r;2;-24.664600000000000;31.679200000000002;Vutome
14,923;r;15;-24.668800000000001;31.672899999999998;Ripape
14,924;k;2;-24.681300000000000;31.666699999999999;Ripape
14,925;r;7;-24.681300000000000;31.666699999999999;Ripape
14,926;ko;6;-24.675000000000001;31.672899999999998;Vutome
14,927;vl;1;-24.675000000000001;31.672899999999998;Vutome
14,928;br;3;-24.675000000000001;31.679200000000002;Vutome
14,929;r;25;-24.675000000000001;31.693700000000000;Vutome
14,930;st;1;-24.668800000000001;31.693700000000000;Vutome
14,931;w;12;-24.668800000000001;31.706199999999999;Vutome
14,932;ko;3;-24.664600000000000;31.712499999999999;Vutome
14,933;bh;1;-24.664600000000000;31.712499999999999;Vutome
14,934;r;3;-24.658300000000001;31.725000000000001;Vutome
14,935;br;3;-24.658300000000001;31.725000000000001;Vutome
14,936;r;12;-24.664600000000000;31.725000000000001;Vutome
14,937;wr;3;-24.664600000000000;31.718699999999998;Vutome
14,938;wk;1;-24.664600000000000;31.725000000000001;Vutome
14,939;ko;2;-24.664600000000000;31.718699999999998;Vutome
14,940;k;3;-24.668800000000001;31.718699999999998;Vutome
14,941;r;25;-24.668800000000001;31.706199999999999;Vutome
14,942;w;2;-24.675000000000001;31.699999999999999;Vutome
14,943;r;4;-24.687500000000000;31.666699999999999;Vutome
14,944;r;15;-24.687500000000000;31.654199999999999;Ripape
14,945;wb;1;-24.697900000000001;31.654199999999999;Ripape
14,946;r;6;-24.691700000000001;31.660399999999999;Vutome
14,947;l;3;-24.691700000000001;31.660399999999999;Vutome
14,948;r;1;-24.691700000000001;31.666699999999999;Vutome
14,949;t;2;-24.691700000000001;31.687500000000000;Vutome
14,950;r;2;-24.687500000000000;31.693700000000000;Vutome
14,951;r;10;-24.687500000000000;31.693700000000000;Vutome
14,952;r;15;-24.681300000000000;31.699999999999999;Vutome
14,953;r;12;-24.681300000000000;31.699999999999999;Vutome
14,954;aw;1;-24.681300000000000;31.706199999999999;Vutome
14,955;wr;4;-24.675000000000001;31.706199999999999;Vutome
14,956;wr;2;-24.675000000000001;31.712499999999999;Vutome
14,957;r;20;-24.675000000000001;31.718699999999998;Vutome
14,958;wr;2;-24.675000000000001;31.718699999999998;Vutome
14,959;wl;1;-24.681300000000000;31.725000000000001;Vutome
14,960;wr;4;-24.681300000000000;31.712499999999999;Vutome
14,961;wl;1;-24.681300000000000;31.712499999999999;Vutome
14,962;r;8;-24.687500000000000;31.699999999999999;Vutome
14,963;r;40;-24.687500000000000;31.693700000000000;Vutome
14,964;r;7;-24.697900000000001;31.666699999999999;Vutome
14,965;ob;1;-24.697900000000001;31.654199999999999;Ripape
14,966;r;25;-24.691700000000001;31.693700000000000;Vutome
14,967;kp;1;-24.691700000000001;31.699999999999999;Vutome
14,968;k;6;-24.687500000000000;31.699999999999999;Vutome
14,969;r;20;-24.691700000000001;31.706199999999999;Vutome
14,970;w;1;-24.687500000000000;31.712499999999999;Vutome
14,971;r;7;-24.687500000000000;31.718699999999998;Vutome
14,972;k;23;-24.681300000000000;31.725000000000001;Vutome
14,973;k;1;-24.687500000000000;31.731200000000001;Vutome
14,974;k;9;-24.687500000000000;31.725000000000001;Vutome
14,975;aw;1;-24.691700000000001;31.699999999999999;Vutome
14,976;r;20;-24.697900000000001;31.687500000000000;Vutome
14,977;wr;2;-24.704200000000000;31.687500000000000;Vutome
14,978;r;2;-24.714600000000001;31.660399999999999;Vutome
14,979;r;1;-24.720800000000001;31.666699999999999;Vutome
14,980;ba;1;-24.720800000000001;31.672899999999998;Vutome
14,981;o;7;-24.750000000000000;31.679200000000002;Ripape
14,982;wr;2;-24.750000000000000;31.679200000000002;Ripape
14,983;k;7;-24.704200000000000;31.687500000000000;Vutome
14,984;kp;2;-24.704200000000000;31.693700000000000;Vutome
14,985;vl;2;-24.704200000000000;31.693700000000000;Vutome
14,986;k;3;-24.704200000000000;31.699999999999999;Vutome
14,987;k;7;-24.697900000000001;31.706199999999999;Vutome
14,988;k;43;-24.697900000000001;31.712499999999999;Vutome
14,989;kp;5;-24.691700000000001;31.706199999999999;Vutome
14,990;r;12;-24.691700000000001;31.712499999999999;Vutome
14,991;r;10;-24.697900000000001;31.712499999999999;Vutome
14,992;kp;2;-24.691700000000001;31.718699999999998;Vutome
14,993;r;5;-24.697900000000001;31.718699999999998;Vutome
14,994;k;3;-24.697900000000001;31.725000000000001;Vutome
14,995;k;6;-24.691700000000001;31.718699999999998;Vutome
14,996;kp;1;-24.697900000000001;31.725000000000001;Vutome
14,997;w;12;-24.691700000000001;31.725000000000001;Vutome
14,998;w;3;-24.697900000000001;31.731200000000001;Vutome
14,999;kp;3;-24.691700000000001;31.725000000000001;Vutome
15,000;r;25;-24.697900000000001;31.731200000000001;Vutome
15,001;r;4;-24.691700000000001;31.731200000000001;Vutome
15,002;w;11;-24.697900000000001;31.731200000000001;Vutome
15,003;w;9;-24.704200000000000;31.731200000000001;Vutome
15,004;r;25;-24.704200000000000;31.731200000000001;Vutome
15,005;k;15;-24.704200000000000;31.725000000000001;Vutome
15,006;kp;6;-24.704200000000000;31.725000000000001;Vutome
15,007;kp;4;-24.704200000000000;31.718699999999998;Vutome
15,008;w;13;-24.704200000000000;31.712499999999999;Vutome
15,009;w;20;-24.704200000000000;31.712499999999999;Vutome
15,010;k;9;-24.704200000000000;31.706199999999999;Vutome
15,011;k;9;-24.750000000000000;31.706199999999999;Vutome
15,012;k;2;-24.750000000000000;31.699999999999999;Vutome
15,013;w;6;-24.750000000000000;31.699999999999999;Vutome
15,014;wr;1;-24.750000000000000;31.693700000000000;Ripape
15,015;wr;2;-24.750000000000000;31.687500000000000;Ripape
15,016;wk;1;-24.750000000000000;31.687500000000000;Ripape
15,017;r;25;-24.714600000000001;31.679200000000002;Vutome
15,018;sb;1;-24.714600000000001;31.679200000000002;Vutome
15,019;r;20;-24.720800000000001;31.679200000000002;Vutome
15,020;kp;1;-24.727100000000000;31.679200000000002;Vutome
15,021;r;15;-24.714600000000001;31.693700000000000;Vutome
15,022;aw;1;-24.714600000000001;31.699999999999999;Vutome
15,023;k;5;-24.750000000000000;31.706199999999999;Vutome
15,024;w;17;-24.750000000000000;31.712499999999999;Vutome
15,025;r;60;-24.750000000000000;31.718699999999998;Vutome
15,026;w;11;-24.750000000000000;31.725000000000001;Vutome
15,027;ob;1;-24.750000000000000;31.731200000000001;Vutome
15,028;kp;1;-24.714600000000001;31.731200000000001;Vutome
15,029;k;6;-24.750000000000000;31.731200000000001;Vutome
